sys1,sys2,topic,p,rbo,rbow,rboa,rbob
ICTNETADRun3,ICTNETADRun4,1,0.8,0.079698183877288,0.108768843585709,0.0853870727661769,0.0889662204603979
ICTNETADRun3,ICTNETADRun4,1,0.9,0.0853281306863395,0.103418453190956,0.0882531310248447,0.0906942917572718
ICTNETADRun3,ICTNETADRun4,1,0.95,0.0914670142092774,0.101486596881965,0.09290891896033,0.0943499103999125
ICTNETADRun3,ICTNETADRun4,2,0.8,0.843862404737333,0.843741541771933,0.843862404737333,0.843925947841884
ICTNETADRun3,ICTNETADRun4,2,0.9,0.750322627850825,0.749870443642629,0.750322627850825,0.750559846332549
ICTNETADRun3,ICTNETADRun4,2,0.95,0.685390047532701,0.684780048343373,0.685390047532701,0.685709292380964
ICTNETADRun3,ICTNETADRun4,3,0.8,0.0113148674479425,0.0112575982280102,0.0113148674479425,0.0113456607859164
ICTNETADRun3,ICTNETADRun4,3,0.9,0.041709092025575,0.041603646852842,0.041709092025575,0.041765777211516
ICTNETADRun3,ICTNETADRun4,3,0.95,0.0760716689561572,0.0759691754449728,0.0760716689561572,0.0761279381501407
ICTNETADRun3,ICTNETADRun4,4,0.8,0.471317308267339,0.468859054910453,0.471317308267339,0.476315605061234
ICTNETADRun3,ICTNETADRun4,4,0.9,0.50749305483954,0.510824895884172,0.50749305483954,0.512091348234672
ICTNETADRun3,ICTNETADRun4,4,0.95,0.625091541679446,0.629885462347043,0.625091541679099,0.628985000925624
ICTNETADRun3,ICTNETADRun4,5,0.8,0.233025595813901,0.232958814894337,0.233025595813901,0.233060856045737
ICTNETADRun3,ICTNETADRun4,5,0.9,0.292292501232165,0.292090785810139,0.292292501232165,0.292399176229181
ICTNETADRun3,ICTNETADRun4,5,0.95,0.292792473781628,0.292554467397563,0.292792473781628,0.292925512109522
ICTNETADRun3,ICTNETADRun4,6,0.8,0.990383529453046,0.990388268534691,0.988519394270987,0.990389991368198
ICTNETADRun3,ICTNETADRun4,6,0.9,0.95470093897693,0.954760924945031,0.952309211063454,0.954787772292675
ICTNETADRun3,ICTNETADRun4,6,0.95,0.923137116071339,0.92329481518109,0.921287260928962,0.923356210671509
ICTNETADRun3,ICTNETADRun4,7,0.8,0.00245002906815075,0.0025259749978151,0.00245002906815075,0.00245711280048686
ICTNETADRun3,ICTNETADRun4,7,0.9,0.033593443952405,0.0341580939512209,0.033593443952405,0.0336651268916518
ICTNETADRun3,ICTNETADRun4,7,0.95,0.121189522349375,0.122311148792559,0.121189522349375,0.12135975751954
ICTNETADRun3,ICTNETADRun4,8,0.8,0.536995926068256,0.5369722331404,0.536995926068256,0.537008228817341
ICTNETADRun3,ICTNETADRun4,8,0.9,0.628920761570131,0.628736775230602,0.628920761570131,0.629017465904994
ICTNETADRun3,ICTNETADRun4,8,0.95,0.673778901284955,0.673402366154419,0.673778901284955,0.673999318101918
ICTNETADRun3,ICTNETADRun4,9,0.8,0.165933719967729,0.1659445070486,0.165933719967729,0.165938427434399
ICTNETADRun3,ICTNETADRun4,9,0.9,0.204012074840185,0.204189731037333,0.204012074840185,0.204103028090675
