sys1,sys2,topic,p,rbo,rbow,rboa,rbob
webisWt14axAll,webisWt14axMax,251,0.8,0.147321955125743,0.147321955125743,0.147321955125743,0.147321955125743
webisWt14axAll,webisWt14axMax,251,0.9,0.279894323164359,0.279894323164359,0.279894323164359,0.279894323164359
webisWt14axAll,webisWt14axMax,251,0.95,0.458629796637709,0.458629796637709,0.458629796637709,0.458629796637709
webisWt14axAll,webisWt14axMax,252,0.8,0.441746943655486,0.441746943655486,0.441746943655486,0.441746943655486
webisWt14axAll,webisWt14axMax,252,0.9,0.370094331658194,0.370094331658194,0.370094331658194,0.370094331658194
webisWt14axAll,webisWt14axMax,252,0.95,0.428250842637967,0.428250842637967,0.428250842637967,0.428250842637967
webisWt14axAll,webisWt14axMax,253,0.8,0.698623625720493,0.698623625720493,0.698623625720493,0.698623625720493
webisWt14axAll,webisWt14axMax,253,0.9,0.737792390862037,0.737792390862037,0.737792390862037,0.737792390862037
webisWt14axAll,webisWt14axMax,253,0.95,0.80726170602191,0.80726170602191,0.80726170602191,0.80726170602191
webisWt14axAll,webisWt14axMax,254,0.8,0.0339651330255158,0.0339651330255158,0.0339651330255158,0.0339651330255158
webisWt14axAll,webisWt14axMax,254,0.9,0.130450853116963,0.130450853116963,0.130450853116963,0.130450853116963
webisWt14axAll,webisWt14axMax,254,0.95,0.315990722519585,0.315990722519585,0.315990722519585,0.315990722519585
webisWt14axAll,webisWt14axMax,255,0.8,0.156976693754882,0.156976693754882,0.156976693754882,0.156976693754882
webisWt14axAll,webisWt14axMax,255,0.9,0.305823573511585,0.305823573511585,0.305823573511585,0.305823573511585
webisWt14axAll,webisWt14axMax,255,0.95,0.487249161521084,0.487249161521084,0.487249161521084,0.487249161521084
webisWt14axAll,webisWt14axMax,256,0.8,0.765778514969671,0.765778514969671,0.765778514969671,0.765778514969671
webisWt14axAll,webisWt14axMax,256,0.9,0.69148288760329,0.69148288760329,0.69148288760329,0.69148288760329
webisWt14axAll,webisWt14axMax,256,0.95,0.723352146816429,0.723352146816429,0.723352146816429,0.723352146816429
webisWt14axAll,webisWt14axMax,257,0.8,0.327792003662446,0.327792003662446,0.327792003662446,0.327792003662446
webisWt14axAll,webisWt14axMax,257,0.9,0.435978267025377,0.435978267025377,0.435978267025377,0.435978267025377
webisWt14axAll,webisWt14axMax,257,0.95,0.554398792155373,0.554398792155373,0.554398792155373,0.554398792155373
