year,group,sys,topic,n,n_u,n_t,avg,avg_t,p_i
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,1,995,903,92,1.05514316012725,2.3,0.000862316349975126
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,2,999,973,26,1.01421319796954,2.16666666666667,0.0352252528763421
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,3,999,950,49,1.02777777777778,2.22727272727273,0.000411216766219866
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,4,996,895,101,1.05844845908608,2.19565217391304,0.133778499597894
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,5,999,923,76,1.04279749478079,2.17142857142857,0.0437957807962552
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,6,1000,883,117,1.0752688172043,2.48936170212766,0.091851014597219
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,7,1000,967,33,1.01936799184506,2.35714285714286,0.20814840441094
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,8,998,816,182,1.11259754738016,2.24691358024691,0.00238671426047829
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,9,1000,940,60,1.03842159916926,2.60869565217391,0.0158657238023662
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,10,1000,953,47,1.02459016393443,2.04347826086957,0.0762848098111042
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,11,1000,935,65,1.0351966873706,2.09677419354839,0.0664992955216998
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,12,1000,910,90,1.05932203389831,2.64705882352941,0.034778910864831
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,13,1000,726,274,1.20481927710843,2.63461538461538,0.235164635989157
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,14,998,917,81,1.04284221525601,2.025,0.0265038510861828
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,15,998,915,83,1.0461215932914,2.12820512820513,0.125893248921991
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,16,999,941,58,1.03095975232198,2.07142857142857,0.0168574558972262
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,17,998,955,43,1.02254098360656,2.04761904761905,0.0231064870969662
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,18,1000,958,42,1.02145045965271,2,0.0429378299755316
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,19,996,903,93,1.05063291139241,2.06666666666667,0.0261548504607092
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,20,1000,921,79,1.04275286757039,2.07894736842105,0.00914866499231503
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,21,999,928,71,1.04388714733542,2.44827586206897,0.00155756190598153
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,22,1000,956,44,1.03199174406605,3.38461538461538,2.93462289256776e-07
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,23,1000,828,172,1.12233445566779,2.73015873015873,0.702034211193134
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,24,998,897,101,1.05832449628844,2.19565217391304,0.047623523892561
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,25,999,830,169,1.10876803551609,2.38028169014085,0.0426841536646699
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,26,999,920,79,1.04497907949791,2.19444444444444,0.102061809685813
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,27,998,949,49,1.02780638516993,2.22727272727273,0.331704186855091
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,28,1000,850,150,1.09409190371991,2.34375,0.0114603894028978
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,29,1000,950,50,1.03305785123967,2.77777777777778,2.30581710634224e-09
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,30,1000,913,87,1.0482180293501,2.1219512195122,0.0140241006008638
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,31,999,866,133,1.09539473684211,2.89130434782609,0.000643173380505894
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,32,1000,885,115,1.06837606837607,2.25490196078431,0.341682037687349
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,33,997,951,46,1.02466598150051,2.09090909090909,0.00662042991178384
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,34,999,962,37,1.02251791197544,2.46666666666667,0.000240051519220901
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,35,1000,902,98,1.05820105820106,2.27906976744186,7.25081883820268e-10
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,36,1000,938,62,1.0351966873706,2.21428571428571,0.0813672620666628
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,37,999,945,54,1.02989690721649,2.16,0.0136424756837608
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,38,997,962,35,1.01838610827375,2.05882352941176,1.17955276958297e-05
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,39,998,928,70,1.04175365344468,2.33333333333333,0.111605615152475
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,40,124,118,6,1.02479338842975,2,0.0996910326419846
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,41,999,930,69,1.03630705394191,2.02941176470588,0.00452488801805044
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,42,1000,971,29,1.01522842639594,2.07142857142857,0.00212875035360643
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,43,999,935,64,1.03309203722854,2,0.00152276860240242
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,44,999,913,86,1.05379746835443,2.45714285714286,0.141095895780236
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,45,995,947,48,1.02789256198347,2.28571428571429,2.89021464671061e-08
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,46,392,371,21,1.02887139107612,2.1,0.0352234663833808
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,47,998,920,78,1.04284221525601,2.10810810810811,0.118138568737651
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,48,1000,932,68,1.04058272632674,2.3448275862069,0.000380729497060493
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,49,999,918,81,1.04716981132075,2.25,0.309521724930004
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun3,50,998,953,45,1.02358974358974,2.04545454545455,6.23045452510784e-06
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,1,1000,898,102,1.06951871657754,2.75675675675676,0.29346745029765
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,2,1000,967,33,1.0183299389002,2.2,0.0123241089612919
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,3,1000,967,33,1.01729399796541,2.0625,0.0604171792618385
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,4,1000,857,143,1.085776330076,2.234375,0.352505843398851
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,5,1000,917,83,1.04602510460251,2.12820512820513,0.000105370376329291
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,6,1000,815,185,1.12107623318386,2.4025974025974,0.0950019149730836
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,7,1000,954,46,1.02459016393443,2.09090909090909,0.0284398488718861
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,8,1000,820,180,1.10619469026549,2.14285714285714,0.0238422025015006
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,9,1000,928,72,1.04275286757039,2.32258064516129,0.0327202141349203
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,10,1000,887,113,1.06382978723404,2.13207547169811,0.227664134934867
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,11,1000,926,74,1.04058272632674,2.11428571428571,0.100220669983379
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,12,1000,798,202,1.15207373271889,2.88571428571429,0.458069686248891
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,13,1000,639,361,1.29533678756477,2.71428571428571,0.40146770802201
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,14,1000,899,101,1.05374077976818,2.02,0.0449371404015469
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,15,1000,919,81,1.05263157894737,2.61290322580645,0.0451662364636651
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,16,1000,933,67,1.03626943005181,2.09375,4.74530183315978e-07
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,17,1000,952,48,1.02564102564103,2.08695652173913,0.000227343585578394
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,18,1000,924,76,1.04275286757039,2.17142857142857,0.132293089954559
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,19,1000,923,77,1.04493207941484,2.26470588235294,0.0841460977330037
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,20,1000,902,98,1.05374077976818,2.08510638297872,0.00683484952945943
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,21,1000,919,81,1.04931794333683,2.38235294117647,0.028970067904604
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,22,1000,976,24,1.01214574898785,2,1.01927989196192e-10
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,23,1000,810,190,1.13636363636364,2.71428571428571,0.705902111198929
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,24,1000,887,113,1.06723585912487,2.26,0.0571803735117261
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,25,1000,822,178,1.11482720178372,2.37333333333333,0.0518962085187064
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,26,1000,895,105,1.06723585912487,2.5,0.0082287262183482
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,27,1000,930,70,1.04058272632674,2.25806451612903,0.569535414812763
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,28,1000,760,240,1.16822429906542,2.5,0.027894233674014
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,29,1000,945,55,1.03092783505155,2.2,0.00255738399328562
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,30,1000,909,91,1.0515247108307,2.16666666666667,0.00373653332939797
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,31,1000,854,146,1.10497237569061,2.86274509803922,4.69905293719866e-05
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,32,1000,885,115,1.06382978723404,2.09090909090909,0.309546357278011
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,33,1000,956,44,1.02459016393443,2.2,0.000383066895366274
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,34,1000,980,20,1.01010101010101,2,3.20441637364921e-15
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,35,1000,873,127,1.07642626480086,2.26785714285714,8.28872810681872e-08
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,36,1000,928,72,1.04058272632674,2.18181818181818,0.16360311736187
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,37,1000,927,73,1.04275286757039,2.28125,0.0256670245321921
2009,"ICT, Chinese Academy of Sciences",ICTNETADRun4,38,1000,932,68,1.04602510460251,2.83333333333333,0.00934373558485055
