year,group,sys,topic,n,n_u,n_t,avg,avg_t,p_i
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,151,1000,948,52,1.03092783505155,2.36363636363636,0.00672562799544799
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,152,1000,904,96,1.05485232067511,2.18181818181818,2.45479076069282e-05
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,153,1000,901,99,1.07181136120043,3.09375,0.0680415599078487
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,154,1000,516,484,1.52905198776758,3.50724637681159,0.119744887981417
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,155,1000,964,36,1.02040816326531,2.25,5.71551655833285e-05
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,156,1000,841,159,1.11358574610245,2.78947368421053,5.33124093145025e-06
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,157,1000,965,35,1.01936799184506,2.1875,1.1860603209648e-05
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,158,1000,984,16,1.00908173562059,2.28571428571429,7.13631262628885e-20
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,159,1000,946,54,1.03734439834025,3,5.11887419310521e-13
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,160,1000,868,132,1.08342361863489,2.4,0.201925357606799
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,161,1000,988,12,1.00603621730382,2,1.5326861293953e-20
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,162,1000,840,160,1.11856823266219,2.96296296296296,0.000109576510185426
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,163,1000,519,481,1.47492625368732,3.0251572327044,0.0173794410071001
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,164,1000,961,39,1.02145045965271,2.16666666666667,0.000224824668435498
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,165,1000,855,145,1.10132158590308,2.73584905660377,0.142565392689184
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,166,1000,952,48,1.02459016393443,2,5.89020783348572e-05
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,167,1000,839,161,1.12612612612613,3.28571428571429,0.0103224162134183
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,168,1000,838,162,1.0989010989011,2.25,0.0006084956128148
2012,"ICSA, Hungarian Academy of Sciences",2012bpacad4h,169,1000,903,97,1.06382978723404,2.62162162162162,5.64895571833616e-05
